127.0.0.1 - - [18/Apr/2022:13:06:55 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [18/Apr/2022:13:06:56 +0900] "GET /jspbook/ch07/addr_list.jsp HTTP/1.1" 200 494
0:0:0:0:0:0:0:1 - - [18/Apr/2022:13:06:57 +0900] "GET /jspbook/ch07/addr_form.html HTTP/1.1" 200 931
0:0:0:0:0:0:0:1 - - [18/Apr/2022:13:07:10 +0900] "POST /jspbook/ch07/addr_add.jsp HTTP/1.1" 200 478
0:0:0:0:0:0:0:1 - - [18/Apr/2022:13:07:12 +0900] "GET /jspbook/ch07/addr_list.jsp HTTP/1.1" 200 572
0:0:0:0:0:0:0:1 - - [18/Apr/2022:13:07:23 +0900] "POST /jspbook/ch07/addr_add.jsp HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [18/Apr/2022:13:07:28 +0900] "GET /jspbook/ch07/addr_list.jsp HTTP/1.1" 200 644
0:0:0:0:0:0:0:1 - - [18/Apr/2022:13:08:03 +0900] "GET /jspbook/ch07/addr_list.jsp HTTP/1.1" 200 644
0:0:0:0:0:0:0:1 - - [18/Apr/2022:13:08:14 +0900] "POST /jspbook/ch07/addr_add.jsp HTTP/1.1" 200 483
0:0:0:0:0:0:0:1 - - [18/Apr/2022:13:08:18 +0900] "GET /jspbook/ch07/addr_list.jsp HTTP/1.1" 200 730
